material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Lithium-ion Battery Material,185.89,26.87,2,445.63,52.06,215.56682,6.55,Electric Vehicle Battery Pack,4.33,5.06,40.21,Lithium-ion Battery Material
Stainless Steel,386.5,28.16,9,396.28,54.22,287.91998,9.62,Washing Machine,5.04,3.31,82.63,Stainless Steel
Glass,220.0,5.27,10,301.56,73.59,140.95558,9.47,Hair Dryer,6.4,6.86,50.49,Glass
Silicon,221.88,28.89,2,300.71,5.0,169.57224,7.1,Microwave Oven,6.41,6.17,46.41,Silicon
Polypropylene,256.42,20.53,10,196.19,26.87,173.73322000000002,7.86,Tablet,7.91,6.07,56.67,Polypropylene
Copper,345.29,15.35,1,50.0,50.41,238.72087,4.66,Washing Machine,10.0,4.5,72.87,Copper
Stainless Steel,395.07,36.02,2,80.67,25.52,200.71201,7.72,Air Conditioner,9.56,5.42,82.29,Stainless Steel
Lithium-ion Battery Material,75.93,29.72,5,332.25,68.54,69.77335,10.25,Refrigerator,5.96,8.58,19.93,Lithium-ion Battery Material
Glass,282.14,8.74,10,477.56,56.73,208.74293,9.11,Microwave Oven,3.87,5.23,61.9,Glass
Low Carbon Steel,268.96,46.78,3,226.46,49.59,134.98,8.37,Microwave Oven,7.47,7.01,57.67,Low Carbon Steel
Glass,261.75,23.3,5,242.61,60.38,139.43697,6.15,Smartphone,7.24,6.9,57.11,Glass
Carbon Fiber Composite,293.74,29.95,7,251.25,78.55,157.08187,8.88,LED TV,7.12,6.47,64.63,Carbon Fiber Composite
Carbon Fiber Composite,381.59,20.98,8,50.0,41.84,217.495,4.66,Hair Dryer,10.0,5.02,81.97,Carbon Fiber Composite
Carbon Fiber Composite,315.21,45.45,10,371.46,24.41,165.98011,5.71,Refrigerator,5.39,6.26,67.85,Carbon Fiber Composite
Copper,336.59,1.0,10,71.46,60.87,195.06046,7.96,Smartphone,9.69,5.56,74.08,Copper
Carbon Fiber Composite,488.88,1.0,8,276.35,32.97,252.43627,5.75,Washing Machine,6.76,4.17,102.52,Carbon Fiber Composite
Polypropylene,308.67,21.31,10,367.01,55.13,170.40239,9.17,LED TV,5.46,6.15,67.48,Polypropylene
Silicon,330.38,26.86,8,315.65,74.93,182.32492,7.3,Refrigerator,6.19,5.86,71.96,Silicon
Copper,235.2,5.73,5,250.35,53.68,134.53808999999998,8.91,Electric Vehicle Battery Pack,7.13,7.02,51.58,Copper
Silicon,384.31,22.82,1,258.61,68.35,200.55024,11.42,Laptop,7.01,5.42,80.61,Silicon
ABS Plastic,73.36,33.21,3,159.82,78.66,90.11233,7.35,Electric Vehicle Battery Pack,8.43,8.09,19.62,ABS Plastic
Stainless Steel,10.0,18.06,3,358.15,78.13,30.82852,5.45,Laptop,5.58,9.52,6.36,Stainless Steel
ABS Plastic,182.79,27.9,2,216.35,59.23,116.11519,7.72,Washing Machine,7.62,7.46,40.46,ABS Plastic
Silicon,224.48,31.42,4,50.0,43.98,208.46509,9.19,Air Conditioner,10.0,5.23,49.42,Silicon
Glass,147.06,23.23,5,126.45,78.05,128.178,6.64,Tablet,8.9,7.17,35.03,Glass
Silicon,277.47,26.96,9,218.84,49.07,199.27252000000004,8.56,Refrigerator,7.58,5.46,61.18,Silicon
Stainless Steel,229.22,47.11,5,233.75,66.93,141.79666999999998,8.18,Air Conditioner,7.37,6.84,50.83,Stainless Steel
Glass,252.62,28.46,6,572.34,67.69,168.19479,7.41,Air Conditioner,2.52,6.21,54.86,Glass
Copper,268.64,21.48,10,240.1,95.83,174.03629,4.17,Tablet,7.28,6.06,61.06,Copper
Copper,58.07,26.27,9,310.85,93.75,32.02263,8.88,Smartphone,6.26,9.49,18.38,Copper
Stainless Steel,274.61,27.59,3,369.9,57.99,192.02259,8.26,Washing Machine,5.42,5.63,58.65,Stainless Steel
Glass,490.51,26.87,3,118.63,38.24,363.057,9.52,Hair Dryer,9.02,1.5,101.95,Glass
Lithium-ion Battery Material,345.08,3.94,6,447.78,58.55,209.6685,5.28,Washing Machine,4.3,5.2,73.43,Lithium-ion Battery Material
Silicon,394.94,37.34,2,350.3,35.88,204.98602,8.36,Washing Machine,5.7,5.32,81.8,Silicon
Silicon,384.62,31.88,5,581.94,58.4,246.67664,8.74,Smartphone,2.38,4.31,80.65,Silicon
Aluminum Alloy,217.44,54.61,2,243.72,80.14,143.21561,7.69,Hair Dryer,7.22,6.81,47.94,Aluminum Alloy
Lithium-ion Battery Material,155.59,42.23,6,308.46,65.63,112.29325,5.82,Smartphone,6.3,7.56,36.15,Lithium-ion Battery Material
Lithium-ion Battery Material,160.16,27.36,6,446.48,50.9,116.37004,3.86,Electric Vehicle Battery Pack,4.32,7.46,36.22,Lithium-ion Battery Material
Stainless Steel,108.53,8.86,1,165.19,33.14,104.34566,8.06,Laptop,8.35,7.75,24.67,Stainless Steel
Silicon,262.09,8.98,10,354.03,60.79,206.88778,10.46,Smartphone,5.64,5.27,58.37,Silicon
Glass,41.98,8.66,8,466.27,62.9,80.69299,8.59,Electric Vehicle Battery Pack,4.04,8.32,13.49,Glass
Silicon,254.94,45.96,5,348.61,71.88,172.33053,4.0,LED TV,5.72,6.11,55.79,Silicon
Carbon Fiber Composite,31.51,1.0,8,144.07,44.2,55.38345,6.32,Smartphone,8.65,8.93,11.76,Carbon Fiber Composite
Aluminum Alloy,208.49,33.4,8,474.04,83.74,162.34599,7.31,Electric Vehicle Battery Pack,3.92,6.35,47.39,Aluminum Alloy
Aluminum Alloy,334.74,18.17,5,246.92,76.09,215.23149,12.33,Tablet,7.18,5.07,72.17,Aluminum Alloy
Silicon,346.67,15.65,9,209.67,71.86,262.99647,8.83,Air Conditioner,7.71,3.92,75.73,Silicon
ABS Plastic,245.21,7.52,10,208.44,39.39,214.49652,5.17,LED TV,7.73,5.09,54.77,ABS Plastic
Carbon Fiber Composite,179.27,2.02,3,78.91,48.31,92.13167,7.94,Laptop,9.59,8.04,40.12,Carbon Fiber Composite
Stainless Steel,219.09,17.75,8,103.81,66.39,145.68572999999998,9.18,Washing Machine,9.23,6.75,50.06,Stainless Steel
Low Carbon Steel,248.29,16.49,3,341.84,59.2,173.962,9.45,Refrigerator,5.82,6.07,53.5,Low Carbon Steel
Aluminum Alloy,297.12,33.34,5,608.11,64.45,208.34717,9.21,Air Conditioner,2.0,5.24,63.26,Aluminum Alloy
Lithium-ion Battery Material,337.47,41.03,10,114.45,58.18,193.66566,8.68,Microwave Oven,9.08,5.59,74.06,Lithium-ion Battery Material
Glass,374.07,30.7,5,253.28,30.44,227.00008,8.12,LED TV,7.09,4.79,78.65,Glass
Polypropylene,224.63,37.44,4,342.44,13.59,198.98784,7.07,Microwave Oven,5.81,5.46,47.7,Polypropylene
Polypropylene,245.29,31.12,1,266.5,40.06,128.61542,5.75,Electric Vehicle Battery Pack,6.9,7.16,51.94,Polypropylene
Aluminum Alloy,251.1,33.17,7,135.83,48.29,143.43438,7.72,Air Conditioner,8.77,6.8,55.52,Aluminum Alloy
Lithium-ion Battery Material,144.23,52.13,9,434.46,72.29,84.96333,6.09,Refrigerator,4.49,8.22,34.61,Lithium-ion Battery Material
Stainless Steel,280.73,29.8,10,412.95,83.12,222.51781,11.03,Refrigerator,4.8,4.89,62.6,Stainless Steel
Carbon Fiber Composite,235.01,18.35,8,259.46,73.93,156.01639999999998,11.23,LED TV,7.0,6.5,53.02,Carbon Fiber Composite
Silicon,294.1,36.72,7,50.0,26.65,174.8735,9.94,Hair Dryer,10.0,6.04,63.72,Silicon
Aluminum Alloy,173.75,37.93,10,346.59,63.67,91.29241,10.81,Electric Vehicle Battery Pack,5.75,8.06,40.81,Aluminum Alloy
Low Carbon Steel,198.56,34.82,5,343.49,44.22,134.19133,10.63,Microwave Oven,5.79,7.03,43.7,Low Carbon Steel
Aluminum Alloy,477.99,33.16,4,256.25,37.86,302.095,8.74,Tablet,7.04,2.97,99.34,Aluminum Alloy
Stainless Steel,181.44,1.0,4,291.61,55.28,149.98941,5.5,Smartphone,6.54,6.65,40.45,Stainless Steel
ABS Plastic,148.68,12.48,4,264.81,65.95,102.88475,9.38,Hair Dryer,6.92,7.78,34.3,ABS Plastic
Polypropylene,290.18,27.96,10,205.89,93.97,207.94132,8.71,Washing Machine,7.77,5.25,65.41,Polypropylene
Polypropylene,313.78,1.0,4,265.08,40.04,217.01964,8.46,Hair Dryer,6.92,5.03,66.54,Polypropylene
Copper,145.67,51.2,4,50.0,63.84,81.80139,4.59,Laptop,10.0,8.29,34.25,Copper
Copper,340.1,1.0,3,207.89,81.01,197.85886,7.6,Washing Machine,7.74,5.49,72.9,Copper
Stainless Steel,62.95,34.81,2,322.24,63.51,102.4816,6.93,Smartphone,6.1,7.79,16.32,Stainless Steel
Copper,10.0,32.07,10,261.77,59.63,11.09723,6.7,Washing Machine,6.97,10.0,8.18,Copper
Carbon Fiber Composite,258.62,40.26,7,331.19,81.91,159.12048,9.74,Refrigerator,5.97,6.43,57.48,Carbon Fiber Composite
ABS Plastic,305.35,8.94,1,182.35,50.31,177.99273000000002,9.38,Air Conditioner,8.1,5.97,64.5,ABS Plastic
Aluminum Alloy,305.49,21.75,2,235.73,17.77,237.61449,9.31,Air Conditioner,7.34,4.53,63.7,Aluminum Alloy
Silicon,318.92,51.63,5,346.16,36.99,163.22946000000002,9.4,Refrigerator,5.76,6.33,67.55,Silicon
Low Carbon Steel,155.9,47.73,8,218.73,36.98,164.52442000000002,11.35,Hair Dryer,7.58,6.29,36.21,Low Carbon Steel
Carbon Fiber Composite,103.97,36.7,4,135.36,49.48,146.43175,7.66,Hair Dryer,8.78,6.73,25.23,Carbon Fiber Composite
Stainless Steel,304.8,14.32,1,320.58,55.69,208.97708,4.7,Hair Dryer,6.12,5.22,64.15,Stainless Steel
Stainless Steel,491.64,34.93,8,75.2,81.02,299.9645,10.39,Laptop,9.64,3.02,105.09,Stainless Steel
Lithium-ion Battery Material,280.91,40.02,3,231.4,77.42,145.90639000000002,6.45,LED TV,7.4,6.74,60.88,Lithium-ion Battery Material
Aluminum Alloy,417.96,32.37,5,98.49,75.16,251.7133,3.87,Smartphone,9.31,4.19,89.21,Aluminum Alloy
Copper,387.95,42.96,6,184.34,39.37,210.33507,10.0,Refrigerator,8.08,5.19,82.19,Copper
Lithium-ion Battery Material,115.29,17.73,5,212.73,33.98,131.03982,7.66,Electric Vehicle Battery Pack,7.67,7.1,27.11,Lithium-ion Battery Material
Carbon Fiber Composite,296.11,37.34,1,306.23,64.17,205.43596,5.85,LED TV,6.33,5.31,62.71,Carbon Fiber Composite
Glass,199.51,52.12,6,383.0,44.82,147.78842,7.33,Washing Machine,5.23,6.7,44.09,Glass
Polypropylene,172.18,2.24,4,184.18,61.26,148.13809,6.95,Refrigerator,8.08,6.69,39.09,Polypropylene
Silicon,160.63,37.35,2,441.85,44.17,116.59425,9.01,Tablet,4.39,7.45,34.93,Silicon
Silicon,105.53,41.02,8,90.67,52.3,66.48461,6.27,LED TV,9.42,8.66,26.96,Silicon
ABS Plastic,10.13,38.01,1,449.68,41.56,54.65306,8.18,LED TV,4.27,8.95,4.43,ABS Plastic
Carbon Fiber Composite,389.47,25.12,6,223.45,62.13,197.57678,6.85,Air Conditioner,7.51,5.5,83.06,Carbon Fiber Composite
Aluminum Alloy,205.62,1.0,2,395.53,33.08,106.65413,6.66,Smartphone,5.05,7.69,43.73,Aluminum Alloy
Aluminum Alloy,414.36,16.91,7,190.27,51.26,216.94223,4.87,Microwave Oven,7.99,5.03,88.11,Aluminum Alloy
ABS Plastic,376.18,47.87,3,355.12,12.33,255.64873,9.45,Hair Dryer,5.63,4.09,77.63,ABS Plastic
Low Carbon Steel,257.13,20.79,5,204.27,63.58,173.33093,8.91,Hair Dryer,7.79,6.08,56.39,Low Carbon Steel
Polypropylene,323.05,27.37,7,232.47,76.46,177.65074,7.19,Washing Machine,7.39,5.98,70.48,Polypropylene
Copper,452.14,27.62,10,612.25,38.86,239.7196,10.72,Tablet,1.94,4.48,94.98,Copper
ABS Plastic,329.94,52.73,9,103.85,86.34,209.16372,8.55,Electric Vehicle Battery Pack,9.23,5.22,73.12,ABS Plastic
Low Carbon Steel,451.97,22.42,5,355.88,37.39,275.27281,10.72,Refrigerator,5.62,3.62,94.14,Low Carbon Steel
Stainless Steel,262.34,18.42,7,129.14,35.38,183.14868,3.08,Washing Machine,8.87,5.84,57.4,Stainless Steel
Carbon Fiber Composite,337.97,35.71,3,518.38,47.7,234.54394,7.12,LED TV,3.29,4.6,70.58,Carbon Fiber Composite
Stainless Steel,147.07,29.17,10,56.12,61.68,115.00717,7.94,LED TV,9.91,7.49,36.25,Stainless Steel
ABS Plastic,321.1,12.13,7,218.06,52.85,162.55067000000005,9.13,Laptop,7.59,6.34,69.42,ABS Plastic
Polypropylene,320.42,13.48,9,81.42,41.81,184.34117,5.3,Smartphone,9.55,5.82,69.95,Polypropylene
Low Carbon Steel,124.47,27.23,1,249.89,68.16,170.57175999999998,6.94,Smartphone,7.14,6.15,28.67,Low Carbon Steel
Copper,310.23,23.98,5,152.48,83.33,206.52882,9.26,LED TV,8.53,5.28,67.75,Copper
Copper,221.46,20.81,6,280.92,5.0,176.11664,8.95,Microwave Oven,6.69,6.01,47.58,Copper
Polypropylene,332.55,5.62,10,377.11,46.04,219.80903,9.52,LED TV,5.31,4.96,71.95,Polypropylene
Stainless Steel,242.8,30.73,8,231.31,59.29,130.72477,6.29,Tablet,7.4,7.11,54.22,Stainless Steel
Silicon,228.87,7.1,9,50.0,29.08,119.32811,10.04,Washing Machine,10.0,7.39,51.35,Silicon
Carbon Fiber Composite,154.54,27.25,9,309.22,5.0,114.41268999999998,10.97,Washing Machine,6.29,7.5,35.02,Carbon Fiber Composite
Low Carbon Steel,175.9,3.73,3,638.64,31.73,108.34117,7.67,Smartphone,1.57,7.65,37.35,Low Carbon Steel
Lithium-ion Battery Material,376.86,65.73,10,67.05,54.24,216.08868,10.83,Smartphone,9.76,5.05,81.95,Lithium-ion Battery Material
Aluminum Alloy,169.9,26.16,7,458.35,42.55,98.05908,5.81,Microwave Oven,4.15,7.9,38.19,Aluminum Alloy
Aluminum Alloy,465.27,16.31,6,638.68,32.56,299.66055,6.68,Microwave Oven,1.57,3.03,96.14,Aluminum Alloy
Copper,164.62,47.85,10,200.56,57.44,114.68109,10.57,Hair Dryer,7.84,7.5,39.22,Copper
Stainless Steel,499.92,6.19,2,332.51,65.55,306.73475,8.06,Air Conditioner,5.95,2.86,103.74,Stainless Steel
Lithium-ion Battery Material,142.12,47.63,1,467.75,59.48,88.38364,5.16,Electric Vehicle Battery Pack,4.01,8.13,31.31,Lithium-ion Battery Material
Lithium-ion Battery Material,408.82,41.71,1,300.72,49.24,207.94277,7.69,Refrigerator,6.41,5.25,84.82,Lithium-ion Battery Material
Polypropylene,155.58,28.62,7,284.89,77.82,113.16101,9.29,Air Conditioner,6.63,7.54,36.88,Polypropylene
Aluminum Alloy,330.64,49.27,2,200.13,45.59,170.82916,2.59,Tablet,7.85,6.14,69.67,Aluminum Alloy
